County,Farmer,Household size,Crop,Acreage,Fertilizer amount,Laborers,Yield,Power source,Water source,Crop insurance,Latitude,Longitude,Education_Degree,Education_Diploma,Education_Primary,Education_Secondary,Gender_Male,Age bracket_36-45,Age bracket_46-55,Age bracket_56-65,Age bracket_above 65,Main credit source_Family,Main credit source_Savings,Farm records_Yes,Main advisory source_Internet,Main advisory source_Public gatherings,Main advisory source_Radio,Main advisory source_Television,Extension provider_KALRO,Extension provider_National Government,Extension provider_Private Provider,Advisory format_SMS text,Advisory language_Kiswahili,Advisory language_Vernacular,Fertilizer_Category
TAITA TAVETA,fmr_220,0.625,corn,0.06666666666666667,0.27083333333333337,0.16666666666666669,0.5636363636363636,Manual,Rain,No,0.6410256410256405,0.27777777777777146,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,High
TAITA TAVETA,fmr_238,0.375,corn,0.06666666666666667,0.0,0.3333333333333333,0.5636363636363636,Manual,Rain,No,0.6666666666666661,0.27777777777777146,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,Low
TAITA TAVETA,fmr_250,0.375,corn,0.06666666666666667,0.020833333333333336,0.0,0.5636363636363636,Manual,Rain,No,0.5128205128205128,0.19444444444444287,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Low
TAITA TAVETA,fmr_251,0.5,corn,0.2,0.16666666666666669,0.0,0.5636363636363636,Manual,Rain,No,0.6410256410256405,0.3888888888888715,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,High
TAITA TAVETA,fmr_271,0.375,corn,0.0,0.2708333333333333,0.16666666666666669,0.5636363636363636,Manual,Rain,No,0.7692307692307683,0.30555555555555713,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,High
TAITA TAVETA,fmr_280,0.5,corn,0.2,0.0625,0.16666666666666669,0.5636363636363636,Manual,Rain,No,0.4615384615384617,0.19444444444444287,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,Medium
TAITA TAVETA,fmr_287,0.375,corn,0.06666666666666667,0.0625,0.16666666666666669,0.5636363636363636,Manual,Rain,No,0.3333333333333339,0.6111111111110858,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,Medium
TAITA TAVETA,fmr_289,0.375,corn,0.2,0.0,0.0,0.5636363636363636,Manual,Rain,No,0.7179487179487172,0.1666666666666572,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,Low
TAITA TAVETA,fmr_291,0.375,corn,0.2,0.0625,0.0,0.5636363636363636,Manual,Rain,No,0.615384615384615,0.19444444444444287,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,Medium
TAITA TAVETA,fmr_297,0.625,corn,0.2,0.0,0.4166666666666667,0.5636363636363636,Manual,Rain,No,0.3589743589743577,0.6111111111110858,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,Low
